StudentID,Gender,Math,Reading,Writing,StudyHours,Attendance,ParentalEducation,Passed
1,Male,78,72,70,5,90,Graduate,Yes
2,Female,85,88,90,6,95,Postgraduate,Yes
3,Male,60,65,58,3,75,HighSchool,No
4,Female,92,95,94,8,98,Postgraduate,Yes
5,Male,55,60,52,2,70,HighSchool,No
6,Female,70,75,73,4,85,Graduate,Yes
7,Male,88,84,82,7,92,Graduate,Yes
8,Female,66,68,70,3,78,HighSchool,No
9,Male,95,97,96,9,99,Postgraduate,Yes
10,Female,72,74,76,5,88,Graduate,Yes
11,Male,58,62,60,2,72,HighSchool,No
12,Female,81,83,85,6,90,Graduate,Yes
13,Male,77,79,75,5,87,Graduate,Yes
14,Female,69,71,73,4,80,HighSchool,No
15,Male,90,92,89,8,96,Postgraduate,Yes
16,Female,64,66,68,3,77,HighSchool,No
17,Male,83,85,87,6,91,Graduate,Yes
18,Female,71,73,72,4,86,Graduate,Yes
19,Male,59,61,63,2,73,HighSchool,No
20,Female,94,96,95,9,99,Postgraduate,Yes